road_id,risk_score,predicted_disruption
way/1267016630,44.78,1
way/1267016631,33.42,0
way/1267016632,44.09,1
way/1267016633,33.42,0
way/1267017648,20.1,0
way/1267017649,18.18,0
way/1267017650,20.1,0
way/1267017651,20.1,0
way/1267017652,18.18,0
way/1267017653,32.01,0
way/1267017654,32.01,0
way/1267017655,32.01,0
way/1267018328,20.6,0
way/1267018329,49.25,1
way/1267018330,22.49,0
way/1267019486,84.0,1
way/1267019487,68.56,1
way/1267019488,68.56,1
way/1267019489,66.89,1
way/1267019490,47.94,1
way/1267019491,66.93,1
way/1267019492,47.94,1
way/1267019493,47.94,1
way/1267021992,27.9,0
way/1267021994,27.9,0
way/1267021995,27.9,0
way/1267021996,27.9,0
way/1267021997,27.9,0
way/1267021998,6.92,0
way/1267026379,67.86,1
way/1267051365,75.58,1
way/1267059101,27.9,0
way/1267059102,27.9,0
way/1267059103,27.9,0
way/1267059104,27.9,0
way/1267059105,27.9,0
way/1267059106,27.9,0
way/1267060647,42.02,1
way/1267084994,68.22,1
way/1267087865,41.37,1
way/1267087866,86.61,1
way/1267089651,27.9,0
way/1268305483,6.1,0
way/1268305484,5.21,0
way/1268305485,6.1,0
way/1268305486,6.1,0
way/1268305487,6.1,0
way/1268305488,29.82,0
way/1268305489,5.21,0
way/1268305490,21.88,0
way/1289573613,47.94,1
way/1292544953,5.21,0
way/1292544954,5.21,0
way/1292598208,14.59,0
way/1292598209,22.64,0
way/1292598210,14.59,0
way/1292598211,22.64,0
way/1292598916,22.5,0
way/1292985004,21.88,0
way/1292992763,39.33,1
way/1292993315,6.92,0
way/1292993723,37.51,1
way/1292994711,49.94,1
way/1292998861,29.86,0
way/1295700053,66.93,1
way/1296831174,30.57,0
way/1296946975,21.88,0
way/1298049683,5.21,0
way/1298049684,5.21,0
way/1298049685,5.21,0
way/1298049686,5.21,0
way/1298049687,5.21,0
way/1298049688,5.21,0
way/1298049689,5.21,0
way/1300169029,5.21,0
way/1300169030,5.21,0
way/1300169031,33.68,0
way/1300169034,21.88,0
way/1300169035,21.88,0
way/1300194652,24.31,0
way/1300194653,11.48,0
way/1300194989,11.48,0
way/1302351588,5.21,0
way/1302351589,5.21,0
way/1302483938,5.21,0
way/1303628858,20.58,0
way/1303628859,20.58,0
way/1303630934,5.21,0
way/1303630935,21.88,0
way/1303630936,5.21,0
way/1303630938,5.21,0
way/1303630940,21.88,0
way/1303630941,5.21,0
way/1303632308,5.21,0
way/1303632309,5.21,0
way/1303632311,5.21,0
way/1303633144,20.58,0
way/1303634357,40.64,1
way/1303636913,67.25,1
way/1303638102,24.31,0
way/1303639550,6.92,0
way/1303639551,40.5,1
way/1303639552,46.51,1
way/1303639553,17.89,0
way/1303639554,66.42,1
way/1303639555,40.5,1
way/1303639556,17.89,0
way/1303639558,47.94,1
way/1303639559,17.89,0
way/1303639560,47.94,1
way/1303639561,49.25,1
way/1303652893,66.69,1
way/1303652894,68.22,1
way/1303652896,63.13,1
way/1303653241,22.64,0
way/1303657443,64.79,1
way/1303657444,64.79,1
way/1303658393,54.42,1
way/1303658395,40.64,1
way/1303658397,54.42,1
way/1303658398,40.64,1
way/1303658428,95.03,1
way/1303661728,47.2,1
way/1303662057,68.22,1
way/1303662058,66.2,1
way/1303670337,40.5,1
way/1303671848,68.22,1
way/1303671849,68.22,1
way/1303675854,86.32,1
way/1303678276,17.89,0
way/1303679232,47.94,1
way/1303679233,20.58,0
way/1303693394,5.21,0
way/1303821774,66.2,1
way/1303854971,37.28,1
way/1304569810,96.67,1
way/1304575598,5.21,0
way/1304578587,5.21,0
way/1304578588,5.21,0
way/1304592228,5.21,0
way/1305743436,22.64,0
way/1311573088,53.8,1
way/1311737606,5.21,0
way/1311740389,5.21,0
way/1316335231,42.02,1
way/1316335232,42.02,1
way/1316335233,24.31,0
way/1316335234,10.49,0
way/1316335235,5.21,0
way/1316335236,6.92,0
way/1316335709,5.21,0
way/1316335715,5.21,0
way/1316335719,5.21,0
way/1316335720,5.21,0
way/1316336548,5.21,0
way/1316336549,5.21,0
way/1316336550,5.21,0
way/1316336551,5.21,0
way/1316336552,5.21,0
way/1316337181,20.99,0
way/1316337182,20.99,0
way/1316337183,5.21,0
way/1316337184,22.64,0
way/1316339675,20.99,0
way/1316339676,5.21,0
way/1316339677,5.21,0
way/1316339678,5.21,0
way/1316339679,22.64,0
way/1316339680,22.64,0
way/1316340877,5.21,0
way/1316340878,51.45,1
way/1316340879,6.1,0
way/1316342007,67.86,1
way/1316342008,67.86,1
way/1316342009,65.09,1
way/1316342010,47.94,1
way/1316342011,64.79,1
way/1316342012,64.79,1
way/1316342871,57.59,1
way/1316342872,66.69,1
way/1316342873,55.73,1
way/1316342874,52.06,1
way/1316343251,54.06,1
way/1316343252,60.72,1
way/1316343253,54.06,1
way/1316343254,54.06,1
way/1316344080,75.58,1
way/1316345597,75.58,1
way/1316345598,67.96,1
way/1316345599,75.58,1
way/1316345600,75.58,1
way/1316345602,64.79,1
way/1316345603,64.79,1
way/1316345604,64.79,1
way/1316345605,64.79,1
way/1316345913,64.79,1
way/1316345914,64.79,1
way/1316345916,75.58,1
way/1316345917,75.58,1
way/1316345918,67.96,1
way/1316346102,27.16,0
way/1316346103,24.57,0
way/1316346957,47.94,1
way/1316346958,47.94,1
way/1316346959,5.21,0
way/1316346960,5.21,0
way/1316346961,21.88,0
way/1316346962,21.88,0
way/1316348115,20.58,0
way/1316348116,20.58,0
way/1329018517,5.21,0
way/1329018518,5.21,0
way/1329018519,5.21,0
way/1336405748,57.37,1
way/1343462011,64.79,1
way/1343462012,38.37,1
way/1343462013,39.1,1
way/1343462014,77.22,1
way/1343462015,64.35,1
way/1343462016,38.37,1
way/1343462017,41.37,1
way/1348300956,24.31,0
way/1352373154,5.21,0
way/1352373155,31.25,0
way/1388441903,63.48,1
way/1388441904,37.62,1
way/1389996751,5.21,0
way/1391008615,39.45,1
way/1391116405,47.94,1
way/1391116406,47.94,1
way/1391116407,20.58,0
way/1391116408,20.58,0
way/1392332258,42.68,1
way/1394466734,5.21,0
way/1394495906,5.21,0
way/1411376127,23.42,0
way/1411376128,5.21,0
way/1411376129,5.21,0
way/1411376130,24.31,0
way/1411376131,5.21,0
way/1425558155,40.64,1
way/1467191042,17.07,0
way/1467294707,43.3,1
way/1467294708,13.45,0
way/1467294709,29.84,0
way/1467294710,13.45,0
way/1467802051,29.84,0
way/1467802052,43.3,1
way/1467802053,24.31,0
way/1467802054,41.37,1
way/1467802055,34.86,0
way/1467802056,6.1,0
way/1467804097,14.72,0
way/1467804098,43.3,1
way/1467809605,41.38,1
way/1467809617,41.38,1
way/1468723067,22.64,0
way/1468723068,38.02,1
way/1468723069,22.64,0
way/1473867930,38.02,1
way/1478892440,6.92,0
way/1500143088,5.21,0
way/1533509407,22.64,0
way/1537208035,24.31,0
way/1537208036,26.23,0
way/1537208037,26.23,0
way/1537208038,24.31,0
way/1537208039,27.9,0
way/1537208040,26.23,0
way/1537208041,27.9,0
way/1537208042,27.9,0
way/1537208043,39.33,1
way/1537208044,27.9,0
way/1537208045,26.23,0
way/1540881234,6.92,0
