road_id,risk_score,predicted_disruption
way/431223046,5.21,0
way/431237222,5.21,0
way/431237223,5.21,0
way/431237224,5.21,0
way/431237225,5.21,0
way/431237227,5.21,0
way/431237228,5.21,0
way/444994314,5.21,0
way/444994319,5.21,0
way/444994321,47.39,1
way/444994345,5.21,0
way/459339984,5.21,0
way/459339985,5.21,0
way/461940997,6.92,0
way/461949860,68.22,1
way/461949861,68.22,1
way/461949945,18.18,0
way/461952487,27.57,0
way/462641354,29.59,0
way/462641357,5.21,0
way/462641358,5.21,0
way/479206974,5.21,0
way/495383873,47.77,1
way/495440595,42.75,1
way/497502697,5.21,0
way/497502701,5.21,0
way/497502704,5.21,0
way/497502726,96.67,1
way/497520981,23.0,0
way/497520982,66.93,1
way/497520984,18.18,0
way/497520985,18.18,0
way/497520988,34.61,0
way/497520989,44.18,1
way/497520990,86.61,1
way/497520991,86.61,1
way/497524496,24.31,0
way/497524502,6.1,0
way/497524503,6.1,0
way/507819474,18.18,0
way/507819525,5.21,0
way/507819548,18.18,0
way/508130609,22.64,0
way/508333037,24.31,0
way/508338574,5.21,0
way/508340155,5.21,0
way/508340345,5.21,0
way/508340347,5.21,0
way/508340348,26.23,0
way/508351469,5.21,0
way/508372269,5.21,0
way/508372271,5.21,0
way/508372459,5.21,0
way/508372514,5.21,0
way/508399298,76.64,1
way/508399320,83.31,1
way/508414076,5.21,0
way/508414105,5.21,0
way/508422339,24.57,0
way/508535624,49.25,1
way/508535878,66.46,1
way/508665336,5.21,0
way/508670974,95.78,1
way/508682546,5.21,0
way/508682548,5.21,0
way/508682549,5.21,0
way/508686071,22.64,0
way/508686075,20.58,0
way/508686078,21.88,0
way/508686081,21.88,0
way/508686084,21.88,0
way/508686087,21.88,0
way/508686089,20.58,0
way/508686095,21.88,0
way/508686096,21.88,0
way/508686097,21.88,0
way/508686099,21.88,0
way/508686100,21.88,0
way/508686101,20.58,0
way/508686103,5.21,0
way/508686106,5.21,0
way/508689386,20.58,0
way/508689388,20.58,0
way/508689389,20.58,0
way/508977077,21.88,0
way/509093239,61.37,1
way/509093274,96.67,1
way/510133519,5.21,0
way/510186674,43.37,1
way/510343702,35.59,1
way/510419357,6.92,0
way/510453156,29.86,0
way/510453157,29.86,0
way/511187551,25.64,0
way/511204936,35.59,1
way/511222631,24.31,0
way/511223689,5.21,0
way/511226643,27.57,0
way/511226648,5.21,0
way/511230450,5.21,0
way/511233664,41.37,1
way/511241181,5.21,0
way/511259700,20.24,0
way/511391178,5.21,0
way/511392891,5.21,0
way/511398703,5.21,0
way/511890345,5.21,0
way/511890959,5.21,0
way/511892611,5.21,0
way/511892618,5.21,0
way/511958694,5.21,0
way/517474923,21.88,0
way/517474924,21.88,0
way/517474927,27.9,0
way/517474928,38.72,1
way/517478747,32.01,0
way/517478748,47.94,1
way/517891508,26.51,0
way/517919078,5.21,0
way/517919079,5.21,0
way/517919081,5.21,0
way/517941876,47.94,1
way/518213044,5.21,0
way/534819102,5.21,0
way/534819107,5.21,0
way/541309711,5.21,0
way/541309713,5.21,0
way/541309714,5.21,0
way/541309715,5.21,0
way/541319127,6.92,0
way/541319128,6.92,0
way/541319135,20.24,0
way/543480046,5.21,0
way/543485001,5.21,0
way/543485005,5.21,0
way/543488002,5.21,0
way/543623710,67.86,1
way/543623711,47.94,1
way/543623712,67.77,1
way/543623714,68.47,1
way/543623717,68.22,1
way/543623719,68.22,1
way/543624681,49.25,1
way/543624682,41.37,1
way/543624684,68.91,1
way/543627488,64.79,1
way/543627490,96.67,1
way/543640148,66.55,1
way/543640150,68.91,1
way/543640151,37.62,1
way/543640152,66.69,1
way/543640826,61.82,1
way/543640827,77.22,1
way/543646780,64.79,1
way/543647062,64.79,1
way/543647063,41.37,1
way/543649267,64.79,1
way/543649268,77.22,1
way/543649269,54.42,1
way/543650234,66.69,1
way/543653045,65.81,1
way/548223441,66.69,1
way/564639519,5.21,0
way/564639521,5.21,0
way/564639522,5.21,0
way/564639524,5.21,0
way/564659516,23.81,0
way/564665216,5.21,0
way/564665217,5.21,0
way/564671757,6.92,0
way/564671760,5.21,0
way/564671761,5.21,0
way/564671763,5.21,0
way/564671764,5.21,0
way/564671765,29.84,0
way/564671766,23.81,0
way/564671767,5.21,0
way/564671768,27.9,0
way/564671771,27.9,0
way/564682907,5.21,0
way/564682909,6.1,0
way/564682911,6.1,0
way/564682914,6.1,0
way/564697246,5.21,0
way/564697251,66.93,1
way/564697252,47.94,1
way/564697253,47.94,1
way/564697254,66.93,1
